strategy,return_pct,risk_adjusted,consistency,max_drawdown,total_invested,profit_loss,total_trades
2 Red Days + 2% Total Drop,6.59,1.07,6.89,5.15,180.0,11.87,18
2 Red Days + 1% Total Drop,6.49,1.05,6.61,5.15,290.0,18.81,29
2 Red Days + Below MA20,6.43,1.05,7.11,5.15,240.0,15.43,24
2 Red + Below MA20 + Vol,6.34,0.85,7.53,6.45,50.0,3.17,5
3 Red Days + Below MA20,6.27,0.94,8.14,5.7,150.0,9.41,15
2 Red Days + Below MA10,6.13,1.0,6.31,5.15,310.0,19.0,31
7% Drop from 20D High,6.13,1.0,8.13,5.15,290.0,17.77,29
Red Day + Price Position <15% (10D),6.12,0.99,7.59,5.15,190.0,11.62,19
3% Drop (5D) + 1.5x Vol,5.85,0.6,9.21,8.77,80.0,4.68,8
3% Drop (10D) + 1.5x Vol,5.82,0.6,9.12,8.77,90.0,5.24,9
2 Consecutive Red Days,5.67,0.92,6.16,5.15,390.0,22.13,39
2 Red Days + 3% Total Drop,5.66,0.76,7.81,6.45,120.0,6.79,12
Red Day 0% Below MA10,5.57,1.05,6.54,4.31,550.0,30.62,55
Red Day 1% Below MA10,5.51,1.04,7.26,4.31,380.0,20.95,38
2 Red Days + 1.2x Volume,5.5,0.56,8.38,8.77,80.0,4.4,8
3% Drop from 10D High,5.49,1.63,6.0,2.37,880.0,48.3,88
2 Red Days + Below MA5,5.49,0.89,6.24,5.15,370.0,20.32,37
5% Drop (5D) + 1.2x Vol,5.46,0.56,8.98,8.77,100.0,5.46,10
5% Drop (10D) + 1.2x Vol,5.46,0.56,8.98,8.77,100.0,5.46,10
3% Drop from 14D High,5.39,1.6,6.09,2.37,940.0,50.69,94
2 Red + Below MA10 + Vol,5.27,0.54,7.22,8.77,60.0,3.16,6
3% Drop (10D) + 1.2x Vol,5.24,0.54,8.6,8.77,140.0,7.33,14
3% Drop (5D) + 1.2x Vol,5.21,0.53,8.65,8.77,130.0,6.77,13
3% Drop from 20D High,5.17,1.53,6.1,2.37,1000.0,51.68,100
5% Drop (5D) + 1.5x Vol,5.17,0.53,9.48,8.77,60.0,3.1,6
5% Drop (10D) + 1.5x Vol,5.17,0.53,9.48,8.77,60.0,3.1,6
Red Day 1% Below MA5,5.08,1.51,6.34,2.37,400.0,20.31,40
3% Drop from 7D High,5.03,1.49,5.82,2.37,770.0,38.72,77
5% Drop from 10D High,4.93,1.08,7.8,3.55,420.0,20.72,42
5% Drop from 14D High,4.92,1.12,7.79,3.4,480.0,23.62,48
3% Drop from 5D High,4.89,1.45,5.69,2.37,680.0,33.24,68
2% Drop from 7D High,4.86,1.81,4.99,1.68,1110.0,53.98,111
2% Drop from 10D High,4.79,1.79,5.1,1.68,1190.0,56.95,119
5% Drop from 20D High,4.78,1.1,7.67,3.33,530.0,25.33,53
2% Drop from 14D High,4.77,1.78,5.12,1.68,1220.0,58.14,122
5% Drop from 7D High,4.64,1.02,7.79,3.55,380.0,17.65,38
2% Drop from 3D High,4.61,1.72,5.16,1.68,830.0,38.3,83
2% Drop from 5D High,4.58,1.71,4.89,1.68,1000.0,45.81,100
3% Drop from 3D High,4.56,1.22,6.01,2.74,540.0,24.64,54
Red Day 0% Below MA5,4.48,1.58,5.71,1.84,670.0,30.0,67
5% Drop from 3D High,4.45,1.01,8.34,3.4,220.0,9.79,22
Red Day (>0.5% drop),4.44,2.13,5.46,1.08,660.0,29.28,66
Red Day 2% Below MA5,4.44,1.01,8.12,3.4,200.0,8.87,20
2% Drop from 20D High,4.41,1.65,5.2,1.68,1270.0,56.02,127
Red Day (>1.0% drop),4.27,1.67,5.5,1.55,460.0,19.62,46
Red Day (>1.5% drop),4.23,1.38,5.26,2.06,350.0,14.8,35
5% Drop from 5D High,4.03,0.92,8.17,3.4,320.0,12.89,32
Red Day (>3.0% drop),3.99,0.75,6.22,4.31,150.0,5.99,15
Red Day (>2.0% drop),3.69,0.57,6.44,5.5,230.0,8.49,23
7% Drop from 14D High,3.57,0.48,8.01,6.45,190.0,6.78,19
7% Drop from 10D High,1.71,0.23,5.68,6.45,160.0,2.74,16
7% Drop from 7D High,0.6,0.08,6.02,6.45,110.0,0.66,11
